=== ALL 191 nex.* TABLES · row counts + sizes ===
+-------------------------------------------+----------------------+-------------------+-------------+------------+------------+------------+---------------+--------------+-------------+------------+
|                table_name                 | row_estimate_pg_stat | row_estimate_stat | total_bytes | total_size | heap_bytes | heap_size  | indexes_bytes | indexes_size | toast_bytes | toast_size |
| benchmark_runs                            |                   -1 |                 0 |       49152 | 48 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |        8192 | 8192 bytes |
| food_outreach_template                    |                   -1 |                 0 |       49152 | 48 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |        8192 | 8192 bytes |
| kpe_edges                                 |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| worker_audit_events                       |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| geo_landmark                              |                   -1 |                 0 |       49152 | 48 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |        8192 | 8192 bytes |
| recovery_attempts                         |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| automation_runs                           |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| mp_product_image                          |                   -1 |                 0 |       49152 | 48 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |        8192 | 8192 bytes |
| mp_product_option                         |                   -1 |                 0 |       49152 | 48 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |        8192 | 8192 bytes |
| automation_rules                          |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| analytics_records                         |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| brain_memories                            |                   -1 |                 0 |       49152 | 48 kB      |          0 | 0 bytes    |         40960 | 40 kB        |        8192 | 8192 bytes |
| accommodation_enrichment_evidence         |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| food_enrichment_job                       |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| conv_feedback                             |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| brain_english_grammar                     |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| campaign_segments                         |                   -1 |                 0 |       40960 | 40 kB      |       8192 | 8192 bytes |         32768 | 32 kB        |           0 | 0 bytes    |
| brain_english_practice                    |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| brain_location                            |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| brain_transport                           |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| kpe_duplicates                            |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| import_mappings                           |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| kpe_decisions                             |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| kpe_chunks                                |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| kpe_human_reviews                         |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| brain_english_lesson                      |                   -1 |                 0 |       40960 | 40 kB      |          0 | 0 bytes    |         32768 | 32 kB        |        8192 | 8192 bytes |
| cost_budget                               |                   -1 |                 0 |       32768 | 32 kB      |       8192 | 8192 bytes |         16384 | 16 kB        |        8192 | 8192 bytes |
| contact_duplicate_suggestions             |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_seasons                             |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
| brain_activities                          |                   -1 |                 0 |       32768 | 32 kB      |          0 | 0 bytes    |         24576 | 24 kB        |        8192 | 8192 bytes |
